,Season,Competition,Club,Against,Date,Minute,Goalkeeper,Success?,Score at this moment,Final result,Foot,Area
0,20/21,EURO 2020,Portugal,France,2021-06-23,60,Hugo Lloris,1,2:2,2:2,r,1
1,20/21,EURO 2020,Portugal,France,2021-06-23,30,Hugo Lloris,1,1:0,2:2,r,1
2,20/21,EURO 2020,Portugal,Hungary,2021-06-15,87,Péter Gulácsi,1,2:0,3:0,r,5
3,20/21,Serie A,Juventus FC,Inter Milan,2021-05-15,24,Samir Handanovic,0,1:0,3:2,r,3
4,20/21,Serie A,Juventus FC,Udinese Calcio,2021-05-02,83,Simone Scuffet,1,1:1,2:1,r,1
5,20/21,Serie A,Juventus FC,Cagliari Calcio,2021-03-14,25,Alessio Cragno,1,2:0,3:1,r,3
6,20/21,Coppa Italia,Juventus FC,Inter Milan,2021-02-02,26,Samir Handanovic,1,1:1,2:1,r,4
7,20/21,Serie A,Juventus FC,Atalanta BC,2020-12-16,61,Pierluigi Gollini,0,1:1,1:1,r,5
8,20/21,Serie A,Juventus FC,Genoa CFC,2020-12-13,78,Mattia Perin,1,2:1,3:1,r,3
9,20/21,Serie A,Juventus FC,Genoa CFC,2020-12-13,89,Mattia Perin,1,3:1,3:1,r,2
10,20/21,UEFA Champions League,Juventus FC,FC Barcelona,2020-12-08,52,Marc-André ter Stegen,1,3:0,3:0,r,1
11,20/21,UEFA Champions League,Juventus FC,FC Barcelona,2020-12-08,13,Marc-André ter Stegen,1,1:0,3:0,r,3
12,20/21,Serie A,Juventus FC,Spezia Calcio,2020-11-01,76,Ivan Provedel,1,4:1,4:1,r,4
13,20/21,Serie A,Juventus FC,AS Roma,2020-09-27,44,Antonio Mirante,1,1:1,2:2,r,5
14,19/20,UEFA Champions League,Juventus FC,Olympique Lyon,2020-08-07,43,Anthony Lopes,1,1:1,2:1,r,5
15,19/20,Serie A,Juventus FC,UC Sampdoria,2020-07-26,89,Emil Audero,0,2:0,2:0,r,5
16,19/20,Serie A,Juventus FC,SS Lazio,2020-07-20,51,Thomas Strakosha,1,1:0,2:1,r,5
17,19/20,Serie A,Juventus FC,Atalanta BC,2020-07-11,55,Pierluigi Gollini,1,1:1,2:2,r,1
18,19/20,Serie A,Juventus FC,Atalanta BC,2020-07-11,90,Pierluigi Gollini,1,2:2,2:2,r,1
19,19/20,Serie A,Juventus FC,US Lecce,2020-06-26,62,Gabriel,1,2:0,4:0,r,4
20,19/20,Serie A,Juventus FC,Bologna FC 1909,2020-06-22,23,Lukasz Skorupski,1,1:0,2:0,r,3
21,19/20,Coppa Italia,Juventus FC,AC Milan,2020-06-12,16,Gianluigi Donnarumma,0,0:0,0:0,r,1
22,19/20,Coppa Italia,Juventus FC,AC Milan,2020-02-13,90,Gianluigi Donnarumma,1,1:1,1:1,r,4
23,19/20,Serie A,Juventus FC,ACF Fiorentina,2020-02-02,80,Bartlomiej Dragowski,1,2:0,3:0,r,1
24,19/20,Serie A,Juventus FC,ACF Fiorentina,2020-02-02,40,Bartlomiej Dragowski,1,1:0,3:0,r,1
25,19/20,Serie A,Juventus FC,AS Roma,2020-01-12,10,Pau López,1,2:0,2:1,r,5
26,19/20,Serie A,Juventus FC,Cagliari Calcio,2020-01-06,67,Robin Olsen,1,2:0,4:0,r,5
27,19/20,Serie A,Juventus FC,US Sassuolo,2019-12-01,68,Stefano Turati,1,2:2,2:2,r,1
28,18/19,European Qualifiers,Portugal,Lithuania,2019-11-14,7,Ernestas Setkus,1,1:0,6:0,r,3
29,19/20,Serie A,Juventus FC,Genoa CFC,2019-10-30,90,Ionut Radu,1,2:1,2:1,r,1
30,18/19,European Qualifiers,Portugal,Ukraine,2019-10-14,73,Andriy Pyatov,1,1:2,1:2,r,6
31,19/20,Serie A,Juventus FC,Hellas Verona,2019-09-21,49,Marco Silvestri,1,2:1,2:1,r,4
32,18/19,European Qualifiers,Portugal,Lithuania,2019-09-10,7,Ernestas Setkus,1,1:0,5:1,r,5
33,18/19,UEFA Champions League,Juventus FC,Atlético de Madrid,2019-03-12,86,Jan Oblak,1,3:0,3:0,r,1
34,18/19,Serie A,Juventus FC,SS Lazio,2019-01-27,88,Thomas Strakosha,1,2:1,2:1,r,4
35,18/19,Serie A,Juventus FC,Chievo Verona,2019-01-21,52,Stefano Sorrentino,0,2:0,3:0,r,5
36,18/19,Serie A,Juventus FC,UC Sampdoria,2018-12-29,65,Emil Audero,1,2:1,2:1,r,4
